Algorithm,Entropy,Hamming_Weight,Repeated,Size_Ratio,Encryption_Time_per_Byte,Decryption_Time_per_Byte
AES-CBC,5.545151173077419,0.5000291347503663,0,0.9999999999999998,1.2592863640747962e-06,2.4036125978454943e-06
AES-ECB,5.545151958939207,0.5000750777814399,0,1.0000030517578122,5.717538442695512e-07,9.606083040125666e-07
ChaCha20,5.5451489950509885,0.5001175403594971,0,0.9999999999999998,5.718447937397285e-07,4.787125362781807e-07
RSA,5.545153329914955,0.4998348744111252,0,1.3474121093749998,0.00019438089111645238,0.00154564449985628
Blowfish,5.545152443347245,0.5001431465148926,0,0.9999999999999998,9.054201655089854e-06,8.48185663926415e-06
AES-CBC,5.5451538654984445,0.4998656034469604,0,0.9999999999999998,1.2915279512526465e-06,1.4264060155255718e-06
AES-ECB,5.545156954569315,0.4999413730503141,0,1.0000030517578122,5.027231964049859e-07,1.0710664355428887e-06
ChaCha20,5.545148225399958,0.4999215126037598,0,0.9999999999999998,5.723904905607923e-07,6.712980393785982e-07
RSA,5.545155290540395,0.4998072532105,0,1.3474121093749998,0.00018351029211771672,0.0015468430774490114
Blowfish,5.545150818044868,0.4999473333358765,0,0.9999999999999998,8.861979949870147e-06,8.43851921672467e-06
AES-CBC,5.545150089889541,0.5001134634017944,0,0.9999999999999998,1.2944838090334085e-06,1.547778083477169e-06
AES-ECB,5.545155152440159,0.4998683933459675,0,1.0000030517578122,5.099082045489921e-07,7.744802132947369e-07
ChaCha20,5.545154153699827,0.4998629093170166,0,0.9999999999999998,5.498804966919123e-07,6.723439582856371e-07
RSA,5.5451609364413645,0.4998921693807755,0,1.3474121093749998,0.0001865912963694427,0.0015413592791446715
Blowfish,5.545153552714506,0.4999879121780395,0,0.9999999999999998,8.815050023258662e-06,8.416418495471588e-06
AES-CBC,5.545153321864133,0.4999345779418945,0,0.9999999999999998,1.5901150618446989e-06,1.5420482668559996e-06
AES-ECB,5.54515054446492,0.4997735507246377,0,1.0000030517578122,4.942648956784977e-07,8.930328476708381e-07
ChaCha20,5.545152143933585,0.5000715017318725,0,0.9999999999999998,7.026301318546756e-07,5.691163096344097e-07
RSA,5.545157915783177,0.4998047051945551,0,1.3474121093749998,0.00018506639207771514,0.0015489034922211429
Blowfish,5.545153599940047,0.4998591661453247,0,0.9999999999999998,8.670895113027653e-06,8.501365300617179e-06
AES-CBC,5.545154431821172,0.5000245809555054,0,0.9999999999999998,1.5356818039435891e-06,1.8284026737092059e-06
AES-ECB,5.545153421507171,0.4998598579868836,0,1.0000030517578122,4.892626748187466e-07,7.632934284629299e-07
ChaCha20,5.5451537721988,0.5000056982040405,0,0.9999999999999998,3.985405783168971e-07,7.091784937074407e-07
RSA,5.545155648445984,0.4998531882757293,0,1.3474121093749998,0.00018447217371431177,0.0015917466043902093
Blowfish,5.545154674795271,0.4999071598052979,0,0.9999999999999998,1.1803467714344148e-05,8.366441761609165e-06
AES-CBC,5.54515026885332,0.4999169588088989,0,0.9999999999999998,1.3767021300736813e-06,1.5348632587119935e-06
AES-ECB,5.545152257322723,0.4999470235533949,0,1.0000030517578122,4.9990376282949e-07,7.63930074754171e-07
ChaCha20,5.545154186058289,0.4998846292495728,0,0.9999999999999998,6.54608811601065e-07,7.622475095558912e-07
RSA,5.545158270596678,0.4997999630537688,0,1.3474121093749998,0.00018870396161219102,0.001670650999585632
Blowfish,5.54515093145559,0.5000333309173584,0,0.9999999999999998,9.511495591141282e-06,8.566394171793943e-06
AES-CBC,5.545166689252683,0.4999707341194153,0,0.9999999999999998,1.995636011997703e-06,2.059027792711276e-06
AES-ECB,5.545164550976837,0.500071179758179,0,1.0000015258789061,6.273467079154215e-07,1.311536834691651e-06
ChaCha20,5.54516593368146,0.4999662041664123,0,0.9999999999999998,7.823246050975284e-07,6.213667802512645e-07
RSA,5.545165107938339,0.4998723668609233,0,1.3473876953124997,0.00021036571524746248,0.0017285787635046288
Blowfish,5.545163880308874,0.4999600052833557,0,0.9999999999999998,9.13391886570025e-06,8.415463526034726e-06
AES-CBC,5.545164839227914,0.4998933672904968,0,0.9999999999999998,1.4953457139199598e-06,1.8715809346758765e-06
